Data,Liga,Entrada,Fundamento,Investimento,Odd ,Ganho,Resultado
2022-07-21,WNBA,"Mystics -4,5",Handicap,10,1.47,4.699999999999999,Green
2022-07-21,WNBA,"Ionescu ac. 5,5 ast",Assistências,10,1.62,6.200000000000003,Green
2022-07-21,WNBA,"Ogwumike ac. 5,5 reb",Rebotes,10,1.64,6.399999999999999,Green
2022-07-23,WNBA,Sky,Vencedor,10,1.47,4.699999999999999,Red
2022-07-23,WNBA,"Wilson ac. 19,5 pts",Pontos,10,1.86,8.600000000000001,Green
2022-07-26,WNBA,"Aces +8,6",Handicap,10,1.4,4.0,Green
2022-07-26,WNBA,Aces 40 pts 1T,Total,10,1.52,5.199999999999999,Green
2022-07-26,WNBA,"Parker ac. 9,5 reb",Rebotes,10,2.0,10.0,Green
2022-07-26,WNBA,"Plum ac. 4,5 ast",Assistências,10,1.68,6.800000000000001,Green
2022-07-26,WNBA,"Wilson ac. 20,5 pts",Pontos,10,1.86,8.600000000000001,Red
2022-07-28,WNBA,"Howard ac. 14,5 pts",Pontos,10,1.74,7.399999999999999,Green
2022-07-28,WNBA,"Howard ac. 2,5 ast",Assistências,10,1.66,6.599999999999998,Red
2022-07-28,WNBA,"Powers ab. 3,5 ast",Assistências,10,1.68,6.800000000000001,Green
2022-07-28,WNBA,"Powers ab. 5,5 reb",Rebotes,10,1.74,7.399999999999999,Green
2022-07-28,WNBA,"Sun ac. 38,5 pts 1T",Total,10,1.62,6.200000000000003,Green
2022-07-28,WNBA,"Atkins ab. 15,5 pts",Pontos,10,2.1,11.0,Green
2022-07-28,WNBA,"Cloud ab. 4,5 reb",Rebotes,10,1.66,6.599999999999998,Green
2022-07-28,WNBA,"Diggs-Smith ab. 6,5 ast",Assistências,10,1.68,6.800000000000001,Green
2022-07-30,WNBA,"Howard ab. 5,5 reb",Rebotes,10,1.71,7.100000000000001,Red
2022-07-30,WNBA,"Howard ac. 2,5 ast",Assistências,10,1.66,6.599999999999998,Red
2022-07-30,WNBA,"Mabrey ac. 3,5 reb",Rebotes,10,1.71,7.100000000000001,Red
2022-07-30,WNBA,"Mabrey ac. 11,5 pts",Pontos,10,1.71,7.100000000000001,Red
2022-07-31,WNBA,"Gray ab. 6,5 ast",Assistências,10,1.68,6.800000000000001,Green
2022-07-31,WNBA,"Aces -13,5 pts",Pontos,10,1.45,4.5,Green
2022-08-04,WNBA,"Young ab. 3,5 ast",Assistências,10,1.6,6.0,Green
2022-08-04,WNBA,"Gray ab. 4,5 reb",Rebotes,10,1.6,6.0,Green
2022-08-04,WNBA,"Aces -5,5",Handicap,10,1.4,4.0,Red
2022-08-04,WNBA,"Mercury ab. 81,5 pts",Total,10,1.37,3.700000000000001,Green
2022-08-04,WNBA,"Sun -2,5 1T",Handicap,10,1.36,3.6000000000000014,Red
2022-08-04,WNBA,"Thomas ac. 7,5 reb",Rebotes,10,1.86,8.600000000000001,Green
2022-08-07,WNBA,"Liberty ab. 83,5 pts",Total,10,1.4,4.0,Green
2022-08-07,WNBA,"Mabrey ac. 16,5 pts",Pontos,10,1.86,8.600000000000001,Green
2022-08-09,WNBA,"Storm x Sky Abaixo de 171,5 pts",Total,10,1.43,4.299999999999999,Red
2022-08-09,WNBA,"Wilson ac. 19,5 pts",Pontos,10,1.76,7.600000000000001,Green
2022-08-09,WNBA,"Plum ac. 4,5 ast",Assistências,10,1.76,7.600000000000001,Green
2022-08-09,WNBA,"Sun -4,5",Handicap,10,1.43,4.299999999999999,Green
2022-08-10,WNBA,"Mercury abaixo de 83,5 pts",Total,10,1.47,4.699999999999999,Green
2022-08-10,WNBA,"Peddy ac. 11,5 pts",Pontos,10,1.86,8.600000000000001,Green
2022-08-10,WNBA,"Ionescu ac. 21,5 pts",Pontos,10,1.86,8.600000000000001,Red
2022-08-10,WNBA,"Mabrey ac. 16,5 pts",Pontos,10,1.86,8.600000000000001,Green
2022-08-10,WNBA,Wings vencer,Vencedor,10,1.57,5.700000000000001,Red
2022-08-11,WNBA,"Plum ac. 4,5 ast",Assistências,10,1.76,7.600000000000001,Green
2022-08-11,WNBA,"Sun -6,5",Handicap,10,1.4,4.0,Green
2022-08-11,WNBA,"Aces x Sky ac. 83,5 pts 1T",Total,10,1.47,4.699999999999999,Red
2022-08-11,WNBA,"Jones ac. 13,5 pts",Pontos,10,1.71,7.100000000000001,Green
2022-08-12,WNBA,Mystics 1qt,Vencedor,10,1.44,4.399999999999999,Green
2022-08-12,WNBA,"Parker ab. 6,5 reb",Rebotes,10,1.66,6.599999999999998,Green
2022-08-12,WNBA,"Storm +2,5",Handicap,10,1.52,5.199999999999999,Green
2022-08-17,WNBA,"Sky -3,5 1T",Handicap,10,1.52,5.199999999999999,Red
2022-08-17,WNBA,"Cooper ac. 4,5 reb",Rebotes,10,1.62,6.200000000000003,Green
2022-08-17,WNBA,"Wilson ac. 9,5 reb",Rebotes,10,1.71,7.100000000000001,Green
2022-08-17,WNBA,"Plum ac. 20,5 pts",Pontos,10,1.86,8.600000000000001,Green
2022-08-17,WNBA,"Aces -5,5 1T",Handicap,10,1.36,3.6000000000000014,Red
2022-08-18,WNBA,"Thomas ac. 8,5 reb",Rebotes,10,1.86,8.600000000000001,Green
2022-08-18,WNBA,"Mabrey ac. 16,5 pts",Pontos,10,1.66,6.599999999999998,Red
2022-08-18,WNBA,"Sun -5,5",Handicap,10,1.43,4.299999999999999,Green
2022-08-18,WNBA,"Atkins ab. 2,5 ast",Assistências,10,1.76,7.600000000000001,Red
2022-08-18,WNBA,"Mystics +6,5 1T",Handicap,10,1.4,4.0,Green
2022-08-18,WNBA,"Loyd ac. 16,5 pts",Pontos,10,1.86,8.600000000000001,Red
2022-08-20,WNBA,"Howard ac. 15,5 pts",Pontos,10,1.5,5.0,Red
2022-08-20,WNBA,"Liberty ac. 77,5 pts",Total,10,1.5,5.0,Red
2022-08-20,WNBA,"Liberty +8,5 1T",Handicap,10,1.5,5.0,Red
2022-08-20,WNBA,"Vandersloost ac. 6,5 ast",Assistências,10,1.5,5.0,Red
2022-08-20,WNBA,"Wilson  ac. 9,5 reb",Rebotes,10,1.74,7.399999999999999,Red
2022-08-20,WNBA,"DeShields ab. 3,5 ast",Assistências,10,1.86,8.600000000000001,Green
2022-08-20,WNBA,"  LV Aces ab. 95,5 pts",Total,10,1.45,4.5,Red
2022-08-21,WNBA,"Sun -2,5 1T",Handicap,10,1.43,4.299999999999999,Red
2022-08-21,WNBA,"Thomas ac. 8,5 reb",Rebotes,10,1.71,7.100000000000001,Red
2022-08-21,WNBA,"Jones ac. 14,5 pts",Pontos,10,1.71,7.100000000000001,Green
2022-08-23,WNBA,"Sky ac. 20,5 pts 3qt",Total,10,1.86,8.600000000000001,Red
2022-08-23,WNBA,"Sky -7,5 ",Handicap,10,1.35,3.5,Green
2022-08-24,WNBA,"Sun ab. 84,5 pts",Total,10,1.43,4.299999999999999,Green
2022-08-24,WNBA,"Bonner ab. 2,5 ast",Assistências,10,1.74,7.399999999999999,Red
2022-08-24,WNBA,"Jones ac. 15,5 pts",Pontos,10,1.68,6.800000000000001,Red
2022-08-25,Internacional,"Arabia Saudita ab. 31,5 pts 1T",Total,10,1.52,5.199999999999999,Green
2022-08-25,Internacional,Nova Zelandia primeiro a marcar 20 pts 2QT,Primeiro a marcar,10,1.55,5.5,Green
2022-08-25,Internacional,Finlandia,Vencedor,10,1.45,4.5,Green
2022-08-25,Internacional,"Bahrein ab. 55,5 pts",Total,10,1.66,6.599999999999998,Green
2022-08-25,Internacional,"Letonia x Turquia ac. 40,5 pts 3QT",Total,10,1.43,4.299999999999999,Green
2022-08-25,Internacional,"Servia x Grecia ac. 180,5 pts",Total,10,1.8,8.0,Green
2022-08-25,Internacional,"Servia ac. 47,5 pts 1T",Total,10,1.4,4.0,Green
2022-08-25,Internacional,"Grecia ac. 44,5 pts 1T",Total,10,1.45,4.5,Red
2022-08-25,Internacional,"Eslovenia -14,5 1T",Handicap,10,1.95,9.5,Green
2022-08-25,Internacional,Brasil,Vencedor,10,1.44,4.399999999999999,Red
2022-08-25,Internacional,Brasil primeiro a marcar 15 pts 3QT,Primeiro a marcar,10,1.64,6.399999999999999,Green
2022-08-25,Internacional,EUA primeiro a marcar 15 3QT,Primeiro a marcar,10,1.44,4.399999999999999,Green
2022-08-25,Internacional,EUA vencer 3QT,Vencedor,10,1.36,3.6000000000000014,Green
2022-08-26,Internacional,"Angola -3,5 1t",Handicap,10,1.71,7.100000000000001,Green
2022-08-26,Internacional,Cabo Verde 3qt,Vencedor,10,1.47,4.699999999999999,Green
2022-08-26,Internacional,"Guiné ab. 55,5 pts ",Total,10,1.71,7.100000000000001,Green
2022-08-26,Internacional,"Uganda ab. 29,5 pts 1T",Total,10,1.8,8.0,Green
2022-08-26,Internacional,Angola marcar 10 pts 2qt,Primeiro a marcar,10,1.55,5.5,Green
2022-08-26,Internacional,Ambos times não marcarem 18 pts,Não marcar,20,1.26,5.199999999999999,Green
2022-08-29,Internacional,"Republica Dominicana ab. 30,5 pts 1T",Total,10,1.8,8.0,Red
2022-08-29,Internacional,"Brasil ab. 37,5 pts 1T",Total,10,1.47,4.699999999999999,Green
2022-08-29,Internacional,Brasil 2Qt,Vencedor,10,1.44,4.399999999999999,Red
2022-08-29,Internacional,"México +4,5 3qt",Handicap,10,1.86,8.600000000000001,Green
2022-08-29,Internacional,Nenhum marcar 20 pts,Primeiro a marcar,10,2.5,15.0,Red
2022-08-29,Internacional,"Venezuela ab. 81,5 pts",Total,10,1.83,8.3,Green
2022-08-29,Internacional,"Panamá ab. 30,5 pts 1T",Total,10,1.57,5.700000000000001,Green
2022-08-29,Internacional,"Canadá -29,5 1T",Handicap,10,1.66,6.599999999999998,Green
2022-08-29,Internacional,"Colombia ab. 18,5 pts 1qt",Total,10,1.66,6.599999999999998,Green
2022-08-29,Internacional,Argentina 1qt,Vencedor,10,1.33,3.3000000000000007,Green
2022-08-29,Internacional,Argentina marcar 10 pts primeiro,Primeiro a marcar,10,1.4,4.0,Green
2022-08-29,Internacional,Ambos os times não marcarem 18 pts,Ambos marcarem,10,1.55,5.5,Red
2022-08-31,WNBA,"Parker  ac. 14,5 pts",Pontos,10,1.9,9.0,Green
2022-08-31,WNBA,"Vandersloot ab. 6,5 ast",Assistências,10,1.86,8.600000000000001,Red
2022-08-31,WNBA,"Cooper ab. 4,5 reb",Rebotes,10,1.8,8.0,Green
2022-08-31,WNBA,"Charles ac. 8,5 reb",Rebotes,10,1.86,8.600000000000001,Green
2022-08-31,WNBA,"Sun ab. 43,5 pts 2T",Total,10,1.5,5.0,Red
2022-08-31,WNBA,"Aces x Storm ab. 87,5 pts",Total,10,1.41,4.1,Green
2022-09-01,Eurobasket,Espanha marcar primeiro 10 pts 3ºQT,Primeiro a marcar,10,1.5,5.0,Red
2022-09-01,Eurobasket,Espanha 3ºQT,Vencedor,10,1.66,6.599999999999998,Green
2022-09-01,Eurobasket,"Menos de 78,5 pts 1ºT",Total,10,1.61,6.100000000000001,Green
2022-09-01,Eurobasket,"Montenegro menos de 41,5 pts 2ºT",Total,10,1.66,6.599999999999998,Green
2022-09-01,Eurobasket, Eslovenia 15 pontos 2ºQt,Primeiro a marcar,10,1.5,5.0,Green
2022-09-01,Eurobasket,Eslovenia 1ºT,Vencedor,10,1.5,5.0,Green
2022-09-01,Eurobasket,"Geórgia ab. 69,5 pts",Total,10,1.71,7.100000000000001,Green
2022-09-02,Eurobasket,"Sérvia -14,5 1T",Handicap,10,1.68,6.800000000000001,Red
2022-09-02,Eurobasket,Sérvia 10 pts 3ºQt,Primeiro a marcar,10,1.4,4.0,Red
2022-09-02,Eurobasket,Itália 15 pts,Primeiro a marcar,10,1.53,5.300000000000001,Green
2022-09-02,Eurobasket,"Estonia ab. 42,5 pts",Total,10,1.47,4.699999999999999,Green
2022-09-02,Americup,"EUA x Mexico ab. 43,5 pts 2ºQt",Total,10,1.47,4.699999999999999,Green
2022-09-02,Americup,"Brasil ab. 39,5 pts 1T",Total,10,1.71,7.100000000000001,Green
2022-09-02,Americup,"Brasil x Canadá ab. 133,5 pts",Total,10,2.1,11.0,Red
2022-09-03,Eurobasket,"Polonia ab. 35,5 pts 1T",Total,10,1.83,8.3,Green
2022-09-03,Eurobasket,"Bosnia +4,5 3ºQt",Handicap,10,1.71,7.100000000000001,Red
2022-09-03,Eurobasket,"Bósnia ab. 78,5 pts ",Total,10,1.76,7.600000000000001,Red
2022-09-03,Eurobasket,Eslovenia 3ºQt,Vencedor,10,1.44,4.399999999999999,Green
2022-09-03,Eurobasket,"Israel ab. 78,5 pts",Total,10,1.47,4.699999999999999,Green
2022-09-03,Eurobasket,"Grécia -2,5",Handicap,10,1.45,4.5,Green
2022-09-03,Eurobasket,Grécia 15 pts,Primeiro a marcar,10,1.8,8.0,Red
2022-09-03,Americup,Canadá x Uruguai 40 pts,Nenhum marcar,10,1.44,4.399999999999999,Red
2022-09-07,Eurobasket,"Lituania x Bosnia ac. 39,5 pts 3qt",Total,10,1.57,5.700000000000001,Red
2022-09-07,Eurobasket,Lituania 20 pts,Primeiro a marcar,10,1.61,6.100000000000001,Red
2022-09-07,Eurobasket,"Bosnia ab. 80,5 pts",Total,10,1.43,4.299999999999999,Green
2022-09-07,Eurobasket,"Bulgaria x Belgica ab. 43,5 pts 1Qt",Total,10,1.76,7.600000000000001,Green
2022-09-07,Eurobasket,França x Eslovenia 50 pts 2T,Nenhum marcar,10,1.44,4.399999999999999,Green
2022-09-08,Eurobasket,Finlandia 15 pontos 2ºQt,Primeiro a marcar,10,1.57,5.700000000000001,Green
2022-09-08,Eurobasket,"Holanda ab. 30,5 pts 1ºT",Total,10,1.41,4.1,Red
2022-09-08,Eurobasket,Croácia x Ucrania 45 pontos 1ºT,Nenhum marcar,10,1.74,7.399999999999999,Red
2022-09-08,Eurobasket,Finlandia 15 pontos 3ºQt,Primeiro a marcar,10,1.66,6.599999999999998,Green
2022-09-08,Eurobasket,"Croácia -6,5",Handicap,10,1.52,5.199999999999999,Red
2022-09-08,Eurobasket,Grécia 1ºQt,Vencedor,10,1.37,3.700000000000001,Green
2022-09-08,Eurobasket,Grécia 15 pts 1ºQt,Primeiro a marcar,10,1.4,4.0,Green
2022-09-08,Eurobasket,"Estonia ab. 18,5 pts",Total,10,1.86,8.600000000000001,Red
2022-09-08,Eurobasket,Sérvia 15 pontos,Primeiro a marcar,10,1.61,6.100000000000001,Green
2022-09-08,Eurobasket,"Polonia ab. 73,5 pts",Total,10,1.55,5.5,Green
2022-09-08,Americup,"Venezuela ab. 35,5 pts",Total,10,1.4,4.0,Green
2022-09-08,Americup,"Argentina -8,5 1ºQt",Handicap,10,1.66,6.599999999999998,Red
2022-09-08,Americup,Argentina x Venezuela 20 pts,Nenhum a marcar,10,1.62,6.200000000000003,Red
2022-09-10,Eurobasket,França 15 pts,Primeiro a marcar,10,1.61,6.100000000000001,Red
2022-09-10,Eurobasket,"Turquia x França ab. 40,5 pts 3qt",Total,10,1.4,4.0,Green
2022-09-10,Eurobasket,"Eslovenia -3,5 1ºQt",Handicap,10,1.57,5.700000000000001,Green
2022-09-10,Eurobasket,Turquia 35 pts,Primeiro a marcar,10,1.44,4.399999999999999,Green
2022-09-10,Eurobasket,Eslovenia 45 pts,Primeiro a marcar,10,1.44,4.399999999999999,Red
2022-09-10,Eurobasket,"Eslovenia -14,5 1T",Handicap,10,1.9,9.0,Red
2022-09-10,Eurobasket,"Eslovenia -12,5",Handicap,10,1.52,5.199999999999999,Green
2022-09-10,Eurobasket,"Montenegro ab. 65,5 pts",Total,10,1.4,4.0,Red
2022-09-10,Eurobasket,Alemanha 3ºQt,Vencedor,10,1.8,8.0,Red
2022-09-10,Eurobasket,"Alemanha -22,5",Handicap,10,1.47,4.699999999999999,Red
2022-09-10,Eurobasket,"Valanciunas ac. 10,5 reb",Rebotes,10,1.86,8.600000000000001,Red
2022-09-10,Eurobasket,"Grigonis ac. 14,5 pts",Pontos,10,1.86,8.600000000000001,Red
2022-09-10,Eurobasket,"Felicio ac. 9,5 pts",Pontos,10,1.86,8.600000000000001,Red
2022-09-10,Eurobasket,"Bogdanovic ac. 21,5 pts",Pontos,10,1.86,8.600000000000001,Green
2022-09-10,Eurobasket,"Espanha x Lituania ac. 41,5 pts",Total,10,1.8,8.0,Green
2022-09-10,Eurobasket,Argentina x EUA 45 pts,Nenhum a marcar,10,1.52,5.199999999999999,Green
2022-09-10,Eurobasket,"EUA ab. 37,5 pts",Total,10,1.76,7.600000000000001,Green
2022-09-10,Eurobasket,Argentina x EUA ab. 40 pts 3ºQt,Total,10,1.41,4.1,Green
2022-09-13,WNBA,"Plum ab. 18,5 pts",Pontos,10,1.71,7.100000000000001,Red
2022-09-13,WNBA,"Aces ab. 86,5 pts",Total,10,1.5,5.0,Green
2022-09-13,WNBA,Aces 15 pontos 4ºQt,Primeiro a marcar,10,1.72,7.199999999999999,Green
2022-09-13,WNBA,"Jones ab. 9,5 reb",Rebotes,10,1.76,7.600000000000001,Red
2022-09-13,WNBA,"Sun x Aces ac. 77,5 pts 1T",Total,10,1.47,4.699999999999999,Green
2022-09-13,Eurobasket,"Finlandia ac. 46,5 pts",Total,10,1.41,4.1,Green
2022-09-13,Eurobasket,"Espanha ab. 86,5 pts",Total,10,1.62,6.200000000000003,Red
2022-09-13,Eurobasket,"Alemanha x Grécia ac. 52,5 pts 1ºQt",Total,10,1.5,5.0,Green
2022-09-13,Eurobasket,Grécia  40 pts,Primeiro a marcar,10,1.83,8.3,Red
2022-09-13,Eurobasket,"Alemanha x Grécia ac. 98,5 pts",Total,10,1.57,5.700000000000001,Green
2022-09-13,Eurobasket,"Grécia +9,5",Handicap,10,1.43,4.299999999999999,Red
2022-09-14,Eurobasket,"Itália ab. 43,5 pts 1T",Total,10,1.5,5.0,Green
2022-09-14,Eurobasket,França 40 pts,Primeiro a marcar,10,1.4,4.0,Red
2022-09-14,Eurobasket,"Italia x França ab. 41,5 pts 3qt",Total,10,1.5,5.0,Red
2022-09-14,Eurobasket,Eslovenia 40 pts,Primeiro a marcar,10,1.8,8.0,Red
2022-09-14,Eurobasket,Eslovenia x Polonia 55 pts,Nenhum a marcar,10,1.5,5.0,Green
2022-09-15,WNBA,"Plum ac. 3,5 ast",Assistências,10,1.68,6.800000000000001,Green
2022-09-15,WNBA,"Thomas ab. 5,5 ast",Assistências,10,1.86,8.600000000000001,Red
2022-09-15,WNBA,"LV Aces ab. 83,5 pts",Total,10,1.5,5.0,Green
2022-09-15,WNBA,"Aces x Sun ab. 48,5 pts 1Qt",Total,10,1.83,8.3,red
2022-09-16,Eurobasket,França x Polonia 40 pts,Nenhum a marcar,10,1.5,5.0,Green
2022-09-16,Eurobasket,"França x Polonia ab. 63,5 pts",Total,10,1.45,4.5,Green
2022-09-16,Eurobasket,França x Polonia 18 pts,Ambos não marcarem,10,1.4,4.0,Red
2022-09-16,Eurobasket,"Polonia ab. 55,5 pts",Total,10,1.5,5.0,Green
2022-09-16,Eurobasket,"Alemanha x Espanha ac. 86,5 pts 1T",Total,10,1.57,5.700000000000001,Green
2022-09-16,Eurobasket,Alemanha x Espanha 18 pts,Ambos marcarem,10,1.76,7.600000000000001,Green
2022-09-16,Eurobasket,Espanha 20 pts 2Qt,Total,10,1.47,4.699999999999999,Red
2022-09-16,Eurobasket,Alemanha x Espanha 18 pts,Ambos marcarem,10,1.5,5.0,Green
2022-09-16,Eurobasket,"Alemanha x Espanha ac. 40,5 pts",Total,10,1.5,5.0,Red
2022-09-18,Eurobasket,"Polonia ab. 38,5 pts 1T",Total,10,1.5,5.0,Green
2022-09-18,Eurobasket,"Alemanha x Polonia ab. 40,5 pts 1T",Total,10,1.47,4.699999999999999,Green
2022-09-18,Eurobasket,40 pontos 2ºT,Nenhum a marcar,10,1.5,5.0,Red
2022-09-21,Copa do Mundo ,"EUA -3,5 1Qt",Handicap,10,1.52,5.199999999999999,Green
2022-09-21,Copa do Mundo ,"EUA -14,5",Handicap,10,1.45,4.5,Green
2022-09-21,Copa do Mundo ,"Bósnia ab. 36,5 pts 1T",Total,10,1.5,5.0,Green
2022-09-21,Copa do Mundo ,"Bósnia x Porto Rico ab. 36,5 pts 1Qt",Total,10,1.47,4.699999999999999,Red
2022-09-21,Copa do Mundo ,Porto Rico 45 pts 1T,Primeiro a marcar,10,1.36,3.6000000000000014,Green
2022-09-21,Copa do Mundo ,"Bósnia x Porto Rico ab. 34,5 pts 3Qt",Total,10,1.45,4.5,Green
2022-09-21,Copa do Mundo ,"EUA ac. 28,5 pts 1Qt",Total,10,2.0,10.0,Green
2022-09-21,Copa do Mundo ,"EUA ac. 51,5 pts 1T",Total,10,1.4,4.0,Red
2022-09-21,Copa do Mundo ,"Belgica ac. 38,5 pts 1T",Total,10,1.8,8.0,Green
2022-09-21,Copa do Mundo ,"França x Australia ac. 35,5 pts 1Qt",Total,10,1.5,5.0,Red
2022-09-21,Copa do Mundo ,"França x Austrália ab. 70,5 pts 1T",Total,10,1.55,5.5,Green
2022-09-21,Copa do Mundo ,"França ac. 68,5 pts",Total,10,1.37,3.700000000000001,Green
2022-09-22,Copa do Mundo ,"EUA -18,5 1T",Handicap,10,1.66,6.599999999999998,Green
2022-09-22,Copa do Mundo ,"China -15,5 1T",Handicap,10,1.66,6.599999999999998,Green
2022-09-22,Copa do Mundo ,"Australia -14,5 1T",Handicap,10,1.71,7.100000000000001,Green
2022-09-22,Copa do Mundo ,"Australia -7,5 1Qt",Handicap,10,1.66,6.599999999999998,Green
2022-09-22,Copa do Mundo ,"Porto Rico ab. 27,5 pts 1T",Total,10,1.8,8.0,Green
2022-09-22,Copa do Mundo ,EUA 50 pts,Primeiro a marcar,10,1.57,5.700000000000001,Green
2022-09-22,Copa do Mundo ,"Porto Rico x EUA ab. 34,5 pts",Total,10,1.83,8.3,Green
2022-09-22,Copa do Mundo ,"Porto Rico ab. 38,5 pts",Total,10,1.8,8.0,Red
2022-09-22,Copa do Mundo ,"Sérvia x Japao ab. 30,5 pts",Total,10,1.83,8.3,Red
2022-09-22,Copa do Mundo ,Sérvia 40 pts,Primeiro a marcar,10,1.62,6.200000000000003,Red
2022-09-22,Copa do Mundo ,Australia x Mali 45 pts,Nenhum a marcar,10,1.5,5.0,Red
2022-09-22,Copa do Mundo ,"Mali ab. 52,5 pts",Total,10,1.71,7.100000000000001,Red
2022-09-24,Copa do Mundo ,"EUA -10,5",Handicap,10,1.45,4.5,Green
2022-09-24,Copa do Mundo ,"Belgica -10,5 1T",Handicap,10,1.55,5.5,Red
2022-09-24,Copa do Mundo ,"Porto Rico x Belgica ab. 132,5 pts",Total,10,1.5,5.0,Red
2022-09-25,Copa do Mundo ,"EUA -27,5 1T",Handicap,10,1.83,8.3,Green
2022-09-25,Copa do Mundo ,"EUA -14,5 ",Handicap,10,1.76,7.600000000000001,Red
2022-09-25,Copa do Mundo ,EUA 50 pts,Primeiro a marcar,10,1.5,5.0,Green
2022-09-25,Copa do Mundo ,"China -18,5 1T",Handicap,10,1.86,8.600000000000001,Green
2022-09-25,Copa do Mundo ,"Coreia do Sul ab. 25,5 pts 1T",Total,10,1.83,8.3,Red
2022-09-25,Copa do Mundo ,"Canadá +3,5 1Qt",Handicap,10,1.5,5.0,Green
2022-09-25,Copa do Mundo ,"Sérvia -12,5 1T",Handicap,10,1.83,8.3,Red
2022-09-25,Copa do Mundo ,"Porto Rico ab. 26,5 pts 1T",Total,10,1.52,5.199999999999999,Red
2022-09-26,Copa do Mundo ,"China -10,5",Handicap,10,1.52,5.199999999999999,Green
